Ingrediente Planeat,Ingrediente Dissapore,Match Value
prosciutto crudo di parma cubettato,fico,0
dadini di brasato,peperone,0
cavolfiori,semi di lino,0
confettura extra fragole 65% frutta,vino bianco,0
dado vegetale allo zafferano fatto da noi,tinca,0
couscous,insalata lattuga romana o iceberg,0
pizza margherita,burro fuso,0
trito di pesce,sale maldon,0
mix casera dop/parmigiano 24 mesi,chia (semi),0
finocchietto selvatico,curry,0
tarallini alle patate,noci,0
coppa di parma igp affettata,"pepe nero, macinato fresco",0
fegato vitello fresco,uva,0
gazpacho,ribes essiccati,0
mousse zola e noci,lindor,0
patate al forno fatte da noi!,birra,0
asiago tocchetti,zenzero,0
riso lesso (250 g circa),gelatina alimentare,0
fagiolini cotti,yogurt soia,0
"uova da galline allevate all'aperto senza ogm, senza antibiotici - italia cat. a",crème fraîche,0
pane per hambuger ai semi di papavero,whisky bourbon,0
curry madras,galletto in pezzi,0
fantasia mediterranea bonduelle,seppiolina,0
marte by planeat.eco - rosso mosso croatina igt (pv),rape le cime già pulite,0
pepe nero macinato,brie,0
zucca cubo cotta,trippa,0
timo fresco,sedano rapa al netto degli scarti,0
spinaci surgelati,brodo,0
gazpacho,liquore sherry,0
provolone dolce,castagna,0
cavatelli freschi,"semi di sesamo, di girasole, di zucca",0
emmenthal bavarese,sidro,0
cavolo rosso,vaniglia bourbon in estratto o i semini di mezza bacca,0
alette di pollo tagliate,"ricotta ovina che ha riposato in frigo almeno 12 ore, avvolta in un canovaccio sopra a un colino sistemato in una ciotola più grande (oppure 100 g di ricotta ovina e 100 g di ricotta vaccina per un gusto meno intenso)",0
coppa di parma igp affettata,pane tipo puccia fresco,0
burro,"limoni non trattati, la scorza grattugiata",0
formaggio grattugiato fresco (100 g),paprika,0
code gambero argentino battute a coltello,bieta,0
riso carnaroli cotto,miele di acacia o millefiori,0
pomodori datterini rondelle,salsicce impasto,0
polpette primbeef,nasello,0
pennette cotte,zucchina media,0
vino rosso fermo,frutta candita,0
mais,prosciutto cotto affettato a fette spesse 2 o 3 mm,0
rosette broccoli cotte,verza,0
tortiglioni integrali cotti,vermuth,0
piselli finissimi surgelati,carote,0
tonno in olio di semi di girasole,provola affumicato,0
cubetti di pesce spada,parmigiano reggiano o formaggio affinato nel fieno,0
mirto,pasta all'uovo per lasagne,0
birra artigianale orange bock,wafer,0
hummus,marmellata di albicocche,0
pomodoro grappolo lavato,miglio,0
fragole (300g),mela fuji,0
fonduta al taleggio,birra,0
fettina di pesce spada fresco 150 gr,yogurt,0
miele di acacia italiano biologico (500g),cracker,0
salsiccia luganica 3pz (130gr),lievito fresco,0
prosciutto crudo di parma dop,taccole,0
caciocavallo silano dop,strutto,0
mezze penne cotte,caffè d'orzo solubile,0
salsiccia di suino tagliata,pomodori,0
peperone bastoncino,radicchio chioggia igp,0
scamone,lievito di birra,0
patate rondelle,olio di nocciola,0
fettina di fesa di vitello,porri,0
cotechino cotto,caramella bianca tonda e piccola,0
scamorza artigianale affumicata,birra,0
asiago fresco dop,funghi pleurotus,0
bocconcini di vitello,tartufo,0
carote e zucchine cubettate cotte,tè,0
funghi orecchiette mondati,calamaro,0
ananas cubetti per spiedini,toma,0
patate cubettate per forno,cocco rapé,0
sorrisi,pancetta steccata,0
salamella (130 g),cetriolo,0
orzo perlato cotto,radicchio,0
catalogna,pomodori semisecchi,0
piadina,yogurt vegetale,0
cavoletti bruxelles,uova,0
tentacoli tagliati cotti di totano,arancia bio zeste,0
tonno pinne gialle tritato a coltello,cappero frutti sottaceto,0
emmenthal bavarese,pasta tipo spaghetti o linguine,0
ripieno ai gamberi e limone per ravioli,banana mature,0
"uova da galline allevate all'aperto senza ogm, senza antibiotici - italia cat. a",mikado,0
fegato vitello fresco,cipolla bianca o dorata,0
decorazioni in zucchero,pajata,0
lonza suino nazionale,pepe,0
cosciotto di agnello fresco disossato,lime intero,0
salsa di fichi (120g),cipolla,0
formaggio stagionato julienne,crème de cacao,0
ravioli di brasato,zucchina se possibile chiara,0
spumante,"erbe aromatiche miste a piacere (timo, salvia, alloro, rosmarino, maggiorana)",0
